20,Cao đẳng Kỹ thuật Cao Thắng,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
21,Cao đẳng Kỹ thuật Công nghệ Vạn Xuân,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
22,Cao đẳng Kỹ thuật Lý Tự Trọng,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
23,Cao đẳng Kỹ thuật Nguyễn Trường Tộ,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
24,Cao đẳng Miền Nam,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
25,Cao đẳng nghề Du lịch Sài Gòn,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
26,Cao đẳng nghề Hàng hải Tp. Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
27,Cao đẳng nghề iSPACE,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
28,Cao đẳng nghề Thành phố Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
29,Cao đẳng nghề Thủ Thiêm - Tp. Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
30,Cao đẳng Nguyễn Tất Thành,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
31,Cao đẳng Phát thanh Truyền hình II,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
32,Cao đẳng Quốc tế KENT,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
33,Cao đẳng Quốc tế Tp. Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
34,Cao đẳng Sài Gòn,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
35,Cao đẳng Sài Gòn Gia Định,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
36,Cao đẳng Sân khấu Điện ảnh Thành phố Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
37,Cao đẳng Sư phạm Trung ương,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
38,Cao đẳng Tài chính - Hải quan,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
39,Cao đẳng Thực hành FPT,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
40,Cao đẳng Văn hóa Nghệ thuật Thành phố Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
41,Cao đẳng Văn hóa nghệ thuật và du lịch Sài Gòn,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
42,Cao đẳng Viễn Đông,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
43,Cao đẳng Việt Mỹ,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
44,Cao đẳng Xây dựng số 2,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
45,Cao đẳng Y Dược Hồ Chí Minh,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
46,Cao đẳng Y Dược Hồng Đức,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
47,Cao đẳng Y Dược Pasteur,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
48,Cao đẳng Y Dược Sài Gòn,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
49,Cao đẳng Y Dược Yersin,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
50,Cao đẳng Y khoa Phạm Ngọc Thạch,1,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
51,Đại học An ninh Nhân dân,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
52,Đại học Bách Khoa,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
53,Đại học Cảnh sát Nhân dân,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
54,Đại học Công nghệ,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
55,Đại học Công nghệ Sài Gòn,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
56,Đại học Công nghệ Thông tin,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
57,Đại học Công nghệ thông tin Gia Định,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
58,Đại học Công nghiệp,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
59,Đại học Công nghiệp Thực phẩm,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
60,Đại học FPT,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
61,Đại học Giao thông Vận tải,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
62,Đại học Giao thông Vận tải cơ sở 2,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
63,Đại học Hoa Sen,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
64,Đại học Hùng Vương,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
65,Đại học Khoa học Tự nhiên,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
66,Đại học Khoa học Xã hội và Nhân văn,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
67,Đại học Kiến Trúc,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
68,Đại học Kinh tế,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
69,Đại học Kinh tế – Luật,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
70,Đại học Kinh tế – Tài chính,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
71,Đại học Lao động – Xã hội cơ sở 2,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
72,Đại học Luật,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
73,Đại học Mở,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
74,Đại học Mỹ thuật,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
75,Đại học Ngân hàng,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
76,Đại học Ngoại ngữ – Tin học,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
77,Đại học Ngoại thương cơ sở phía Nam,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
78,Đại học Nguyễn Tất Thành,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
79,Đại học Nông Lâm,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
80,Đại học Quốc tế,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
81,Đại học Quốc tế Hồng Bàng,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
82,Đại học Quốc tế RMIT Việt Nam,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
83,Đại học Quốc tế Sài Gòn,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
84,Đại học Sài Gòn,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
85,Đại học Sân khấu – Điện ảnh,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
86,Đại học Sư phạm,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
87,Đại học Sư phạm Kỹ thuật,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
88,Đại học Sư phạm Thể dục Thể thao,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
89,Đại học Tài chính – Marketing,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
90,Đại học Tài nguyên – Môi trường,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
91,Đại học Thể dục Thể thao,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
92,Đại học Thủy lợi cơ sở 2,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
93,Đại học Tôn Đức Thắng,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
94,Đại học Trần Đại Nghĩa,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
95,Đại học Văn Hiến,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
96,Đại học Văn hóa,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
97,Đại học Văn Lang,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
98,Đại học Việt Đức,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
99,Đại học Y Dược,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
100,Đại học Y khoa Phạm Ngọc Thạch,0,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
101,Học viện Cán bộ,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
102,Học viện Công nghệ Bưu chính Viễn thông cơ sở 2,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
103,Học viện Hàng không Việt Nam,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
104,Học viện Hành chính cơ sở phía Nam,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
105,Học viện Kỹ thuật Mật mã cơ sở phía Nam,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
106,Học viện Kỹ thuật Quân sự cơ sở 2,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
107,Khoa Y – Đại học Quốc gia,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
108,Nhạc viện,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
109,Trung cấp nghề Kỹ thuật Cơ khí giao thông,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
110,Trung cấp nghề An Đức,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
111,Trung cấp nghề Bình Thạnh,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
112,Trung cấp nghề Công nghệ Bách khoa,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
113,Trung cấp nghề Công nghiệp tàu thuỷ 2,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
114,Trung cấp nghề Công nghiệp và xây dựng FICO,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
115,Trung cấp nghề Củ Chi,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
116,Trung cấp nghề Đông Sài Gòn,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
117,Trung cấp nghề Du lịch Khôi Việt,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
118,Trung cấp nghề Du lịch và Tiếp thị Quốc tế,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
119,Trung cấp nghề Kỹ thuật Công nghệ Hùng Vương,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
120,Trung cấp nghề Kỹ thuật nghiệp vụ Tôn Đức Thắng,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
121,Trung cấp nghề Lê Thị Riêng,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
122,Trung cấp nghề Ngọc Phước,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
123,Trung cấp nghề Nhân Đạo,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
124,Trung cấp nghề Nhân lực Quốc tế,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
125,Trung cấp nghề Quang Trung,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
126,Trung cấp nghề Số 7 - BQP,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
127,Trung cấp nghề Suleco,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
128,Trung cấp nghề Thủ Đức,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
129,Trung cấp nghề Tư thục Duy Tân,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
130,Trung cấp nghề Tư thục Hoàn Cầu,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
131,Trung cấp nghề tư thục Kỹ thuật - Kinh tế Sài Gòn 3,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
132,Trung cấp nghề Tư thục Quản lý khách sạn Việt Úc,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
133,Trung cấp nghề Tư thục Việt giao,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
134,Trung cấp nghề Xây lắp điện,2,2019-07-09 11:08:20.391+07,2019-07-09 11:08:20.391+07
